City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,Nantucket,US,2022-09-22 05:52:39,41.2835,-70.0995,66.99,69,20,13.8,few clouds
341,Lishan,CN,2022-09-22 05:52:39,31.8576,113.2951,84.78,32,94,6.82,overcast clouds
342,Benalla,AU,2022-09-22 05:52:40,-36.55,145.9833,68.86,67,43,2.42,scattered clouds
343,Taoudenni,ML,2022-09-22 05:52:40,22.6783,-3.9836,89.01,38,4,7.65,clear sky
344,La Primavera,CO,2022-09-22 05:52:40,5.4906,-70.4092,75.31,90,93,0.56,overcast clouds
345,Priladozhskiy,RU,2022-09-22 05:52:41,59.85,31.4833,48.52,1,98,3.74,overcast clouds
346,Imbituba,BR,2022-09-22 05:51:04,-28.24,-48.6703,66.85,94,100,7.49,overcast clouds
347,Khowst,AF,2022-09-22 05:52:42,33.3833,69.8833,81.36,35,0,4.29,clear sky
348,Aleksandrovsk-Sakhalinskiy,RU,2022-09-22 05:52:42,50.8975,142.1561,61.56,63,6,17.09,clear sky
349,Ilhabela,BR,2022-09-22 05:52:42,-23.7781,-45.3581,66.13,97,100,2.15,overcast clouds
350,Yuli,NG,2022-09-22 05:52:43,9.6989,10.2744,74.05,90,53,2.35,broken clouds
351,Wenling,CN,2022-09-22 05:52:43,28.3669,121.36,77.47,67,83,7.07,broken clouds
352,Tefe,BR,2022-09-22 05:52:44,-3.3542,-64.7114,74.34,82,29,2.84,scattered clouds
353,Darhan,MN,2022-09-22 05:52:44,49.4867,105.9228,52.66,31,28,4.88,scattered clouds
354,The Valley,AI,2022-09-22 05:52:44,18.217,-63.0578,83.1,80,93,20.04,overcast clouds
355,Tommot,RU,2022-09-22 05:52:45,58.9564,126.2925,36.84,90,100,7.45,light rain
356,Seredka,RU,2022-09-22 05:52:45,58.1584,28.1858,47.95,88,57,4.94,broken clouds
357,Mecca,SA,2022-09-22 05:43:13,21.4267,39.8261,92.66,13,0,10.0,clear sky
